post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47604698,Functional programming accelerates agentic feature development,technology,50,22,cyrusradfar,2026-04-05 17:28:39,0.4314,False
47645468,Writing Lisp is AI resistant and I'm sad,technology,69,71,djha-skin,2026-04-05 17:28:39,1.0143,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,757,190,ramkarthikk,2026-04-05 17:28:39,0.2507,True
47621792,Post Mortem: axios NPM supply chain compromise,technology,281,131,JeanMeche,2026-04-05 17:28:39,0.4645,True
47601194,"The Cathedral, the Bazaar, and the Winchester Mystery House",sports,181,63,dbreunig,2026-04-05 17:28:39,0.3462,True
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",technology,5,2,rrvsh,2026-04-05 17:28:39,0.3333,False
47624645,Show HN: Apfel – The free AI already on your Mac,technology,718,146,franze,2026-04-05 17:28:39,0.2031,True
47639976,German men 18-45 need military permit for extended stays abroad,worldnews,374,658,L_226,2026-04-05 17:28:39,1.7547,True
47616157,Software never had a soul,technology,18,17,firloop,2026-04-05 17:28:39,0.8947,False
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",worldnews,58,6,xbmcuser,2026-04-05 17:28:39,0.1017,False
47633131,"Run Linux containers on Android, no root required",technology,212,82,politelemon,2026-04-05 17:28:39,0.385,True
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,394,148,denssumesh,2026-04-05 17:28:39,0.3747,True
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,535,181,detaro,2026-04-05 17:28:39,0.3377,True
47629485,A case study in testing with 100+ Claude agents in parallel,science,52,46,thejash,2026-04-05 17:28:39,0.8679,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,2026-04-05 17:28:39,0.9231,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,208,pretext,2026-04-05 17:28:39,0.3543,True
47645926,The Spaceballs sequel will be released in April next year,science,5,0,WaitWaitWha,2026-04-05 17:28:39,0.0,False
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,49,52,luca-ctx,2026-04-05 17:28:39,1.04,False
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 17:28:39,0.0,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,780,365,hkmaxpro,2026-04-05 17:28:39,0.4673,True
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,187,73,MaximilianEmel,2026-04-05 17:28:39,0.3883,True
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,7,0,Jet_Xu,2026-04-05 17:28:39,0.0,False
47642933,"Student disciplined for creating MSU class search tool, Spartan Scheduler",sports,5,3,rmason,2026-04-05 17:28:39,0.5,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,5,bookmtn,2026-04-05 17:28:39,0.4167,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 17:28:39,0.7647,False
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 17:28:39,0.6364,False
47621438,Show HN: Made a little Artemis II tracker,entertainment,149,56,codingmoh,2026-04-05 17:28:39,0.3733,False
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 17:28:39,0.6389,False
47604155,SpaceX files to go public,science,397,573,nutjob2,2026-04-05 17:28:39,1.4397,True
47641164,Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran,sports,29,23,ceejayoz,2026-04-05 17:28:39,0.7667,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,295,147,Growtika,2026-04-05 17:28:39,0.4966,True
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,898,432,novaRom,2026-04-05 17:28:39,0.4805,True
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05 17:28:39,0.0526,False
47608495,Quantum computing bombshells that are not April Fools,science,264,105,Strilanc,2026-04-05 17:28:39,0.3962,True
47631648,Automatic Textbook Formalization,entertainment,43,17,tzury,2026-04-05 17:28:39,0.3864,False
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 17:28:39,0.2759,True
47602598,An experimental guide to Answer Engine Optimization,science,9,3,rosslh,2026-04-05 17:28:39,0.3,False
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 17:28:39,0.5702,False
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 17:28:39,0.55,False
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,worldnews,86,39,prabal97,2026-04-05 17:28:39,0.4483,False
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,100,43,hpscript,2026-04-05 17:28:39,0.4257,False
47636820,Show HN: Web Push Notifications for Hacker News,entertainment,5,1,kinlan,2026-04-05 17:28:39,0.1667,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 17:28:39,0.7537,False
47634328,Show HN: DotReader – connects ideas across your books automatically,entertainment,5,2,efecerre,2026-04-05 17:28:39,0.3333,False
47611809,New laws to make it easier to cancel subscriptions and get refunds,worldnews,157,66,chrisjj,2026-04-05 17:28:39,0.4177,False
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 17:28:39,0.3401,False
47624270,Q148637: Windows 95/98 Overwrites Boot-Sector Field on Floppy Disks (2001),sports,10,3,TMWNN,2026-04-05 17:28:39,0.2727,False
47593285,MiniStack (replacement for LocalStack),sports,316,67,kerblang,2026-04-05 17:28:39,0.2114,True
47643217,Microsoft to force updates to Windows 11 25H2 for PCs with older OS versions,sports,46,42,cratermoon,2026-04-05 17:28:39,0.8936,False
47643801,Debian Is Figuring Out How Age Verification Laws Will Impact It,worldnews,7,0,breve,2026-04-05 17:28:39,0.0,False
47636203,"Scientists are working on ""everything vaccines""",science,49,56,andsoitis,2026-04-05 17:28:39,1.12,False
47645823,"China's ""pig semen eyedrop"" could help deliver Alzheimer's treatment",worldnews,8,1,nikolay,2026-04-05 17:28:39,0.1111,False
47636233,"Uber engineer alleges hostile 'boys club' culture, firing after cancer leave",science,21,1,nickvec,2026-04-05 17:28:39,0.0455,False
47622110,NanoClaw's architecture is a masterclass in doing less,worldnews,11,0,jonnonz,2026-04-05 17:28:39,0.0,False
47637077,Scientists mapped all the nerves of the clitoris for the first time,science,15,2,01-_-,2026-04-05 17:28:39,0.125,False
47629013,Mercurial Dyson – a plan for the disassembly of planet Mercury,science,56,46,indy,2026-04-05 17:28:39,0.807,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 17:28:39,0.1714,False
47588476,"Trap a quantum object in a box – is it hard or soft, or is it black or white?",science,10,0,allangoff,2026-04-05 17:28:39,0.0,False
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,85,120,vrganj,2026-04-05 17:28:39,1.3953,False
47598354,Replace axios with a simple custom fetch wrapper,sports,17,4,mariuz,2026-04-05 17:28:39,0.2222,False
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,24,10,bundie,2026-04-05 17:28:39,0.4,False
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 17:28:39,0.3077,False
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,10,3,mempko,2026-04-05 17:28:39,0.2727,False
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 17:28:39,1.0,False
47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,worldnews,11,0,codydh,2026-04-05 17:28:39,0.0,False
47617343,Trump fires Pam Bondi as attorney general,worldnews,131,108,Cider9986,2026-04-05 17:28:39,0.8182,False
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 17:28:39,0.1809,False
47632273,"Wine 11.6 – Run Windows Applications on Linux, BSD, Solaris and macOS",sports,8,0,neustradamus,2026-04-05 17:28:39,0.0,False
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,7,1,nikisweeting,2026-04-05 17:28:39,0.125,False
47629306,Pharmaceuticals face 100% tariffs in US – unless firms strike a deal,worldnews,37,31,geox,2026-04-05 17:28:39,0.8158,False
